ID,注释,分类
001,寻车,第一套音频
002,开机,第一套音频
003,关机,第一套音频
004,单独解防,第一套音频
005,单独设防,第一套音频
006,坐垫下压,第一套音频
007,坐垫复位,第一套音频
008,边撑打开,第一套音频
009,边撑收起,第一套音频
010,启用P档,第一套音频
011,解除P档,第一套音频
012,3档位切换,第一套音频
013,定速巡航开启,第一套音频
014,定速巡航关闭,第一套音频
015,左右转向灯,第一套音频
016,危险警示（双闪）,第一套音频
017,车辆移动报警,第一套音频
018,防盗报警（震动与轮动）,第一套音频
019,倾倒报警,第一套音频
020,低电量报警,第一套音频
021,倒计时提示音,第一套音频
022,确认提示音,第一套音频
023,取消提示音,第一套音频
024,输入提示音,第一套音频
025,通用警告音,第一套音频
026,15码报警提示音,第一套音频
027,APP操作响应提示音,第一套音频
028,坐垫锁打开提示音,第一套音频
029,寻车提示音,第二套音频
030,启动车辆,第二套音频
031,关闭车辆,第二套音频
032,单独解防,第二套音频
033,单独设防,第二套音频
034,坐垫下压,第二套音频
035,坐垫复位,第二套音频
036,边撑打开,第二套音频
037,边撑收起,第二套音频
038,启用P档,第二套音频
039,解除P档,第二套音频
040,3档位切换,第二套音频
041,定速巡航开启,第二套音频
042,定速巡航关闭,第二套音频
043,左右转向灯,第二套音频
044,危险警示（双闪）,第二套音频
045,车辆移动报警,第二套音频
046,防盗报警（震动与轮动）,第二套音频
047,倾倒报警,第二套音频
048,低电量报警,第二套音频
049,倒计时提示音,第二套音频
050,确认提示音,第二套音频
051,取消提示音,第二套音频
052,输入提示音,第二套音频
053,通用警告音,第二套音频
054,15码报警提示音,第二套音频
055,APP操作响应提示音,第二套音频
056,坐垫锁打开提示音,第二套音频
057,寻车提示音,第三套音频
058,启动车辆,第三套音频
059,关闭车辆,第三套音频
060,单独解防,第三套音频
061,单独设防,第三套音频
062,坐垫下压,第三套音频
063,坐垫复位,第三套音频
064,边撑打开,第三套音频
065,边撑收起,第三套音频
066,启用P档,第三套音频
067,解除P档,第三套音频
068,3档位切换,第三套音频
069,定速巡航开启,第三套音频
070,定速巡航关闭,第三套音频
071,左右转向灯,第三套音频
072,危险警示（双闪）,第三套音频
073,车辆移动报警,第三套音频
074,防盗报警（震动与轮动）,第三套音频
075,倾倒报警,第三套音频
076,低电量报警,第三套音频
077,倒计时提示音,第三套音频
078,确认提示音,第三套音频
079,取消提示音,第三套音频
080,输入提示音,第三套音频
081,通用警告音,第三套音频
082,15码报警提示音,第三套音频
083,APP操作响应提示音,第三套音频
084,坐垫锁打开提示音,第三套音频
085,单独解防,复用音频
086,单独设防,复用音频
087,坐下,复用音频
088,,复用音频
089,,复用音频
090,,复用音频
091,,复用音频
092,,复用音频
093,,复用音频
094,,复用音频
095,,复用音频
096,,复用音频
097,,复用音频
098,,复用音频
099,元旦,节日音效
100,春节,节日音效
101,劳动节,节日音效
102,端午节,节日音效
103,中秋节,节日音效
104,国庆节,节日音效
105,圣诞节,节日音效
106,请人节,节日音效
107,派DAY,节日音效
108,生日,生日音效
109,48v状态,人声模拟
110,60v状态,人声模拟
111,72v状态,人声模拟
112,开始配对,人声模拟
113,设置成功,人声模拟
114,失败请重试,人声模拟
115,添加成功,人声模拟
116,无通讯状态,人声模拟
117,已恢复,人声模拟
118,已解除,人声模拟
119,已清空,人声模拟
120,已删除,人声模拟
121,已退出,人声模拟
122,有通讯状态,人声模拟
